,sampateny,lettre
airaña,"añairañana, mañairaña",A
aisy,aisiaisy,A
aisiaisy,"fiaisiaisy, fiaisiaisiana, iaisiaisiana, miaisiaisy, mpiaisiaisy",A
aisotra,aisorina,A
aisotra,"anaisorana, iaisorana, manaisotra, miaisotra, voaisotra",A
aito,manaito,A
aivana,mankaivana,A
aivoka,"anamaivohana, fanamaivohana, fanamaivoka, maivoka, manaivoka, mpanamaivoka",A
aiza,"mankaiza, taiza",A
aizana,"anaizanana, fanaizana, fanaizanana, manaizana, mifanaizana",A
aizy,"maizy, manamaizy",A
aizina,"fihamaizinana, mampanaizina, mifanaizina",A
aizina,"aizinina, fanaizina, maizina, manaizina, voaizina",A
ajima,"manajima, manjima",A
ajo,mahajo,A
ajokajoka,"fiajokajohana, fiajokajoka, iajokajohana, miajokajoka, mpiajokajoka",A
aka,"haka, mampaka, mampanaka, mampifanaka, mampivanaka, mifañampaka",A
aka,"akana, ampakana, faka, fakana, maka, mifampaka, mpaka",A
akà,"akaina, akakà, akavina, anakana, anakavana, fanakà, fanakana, fanakavana, fiakà, fiakavana, iakavana, manakà, miakà, mpanakà, mpiakà",A
aka,mampaka,A
akaiky,"akaikena, akaikezina, akaikikaiky, ampifanakaikezina, anakaikezana, fanakaikezana, fanakaiky, fifanakaikezana, mampifanakaiky, manakaiky, mifanakaiky, mihakaiky, mpanakaiky, voakaiky",A
akaikikaiky,mifanakaikikaiky,A
akakà,"fiakakà, fiakakana, iakakana, miakakà, mpiakakà",A
akalana,anakalanana,A
akalana,"akalanina, manakalana, voakalana",A
akana,"miakana, tafakana",A
akanakana,"akanakanina, fiakanakana, fiakanakanana, miakanakana, mpiakanakana, tafakanakana",A
akanga,"akangaina, akangakanga, anakangana, fanakanga, fanakangana, fiakanga, fiakangana, iakangana, mampanakanga, manakanga, miakanga, mifanakanga, mpanakanga, mpiakanga",A
akañy,mekañy,A
akany,mifañakany,A
akanjo,"akanjoana, akanjoina, akanjokanjo, ampiakanjoana, ampiakanjoina, anakanjoana, fanakanjo, fanakanjoana, fiakanjo, fiakanjoana, iakanjoana, mahakanjo, mampiakanjo, manakanjo, miakanjo, mpanakanjo, mpiakanjo, pampiakanjo, piakanjo, tafakanjo, voakanjo",A
akatra,"ampiakarana, ampiakarina, mampakatra",A
akatra,"akarina, ampakarana, ampakarina, ampimakarina, fampakarana, fampakarana, fiakarana, fiakatra, iakarana, mampakatra, mampiakatra, miakatra, mpampakatra, mpiakatra, tafakatra, voakatra, voampakatra",A
akatry,mañakatry,A
akatse,"aakatse, mahakatse, mampiakatse, mañakatse, miakatse, mihamiakatse, pañakatse, piakatse, tafakatse, voaakatse",A
ake,"fiake, mampiake, miake",A
akeky,anakekena,A
akeky,"akekena, akekezina, akekikeky, ampifanakekezina, anakekezana, fanakekena, fanakekezana, fanakeky, mampanakeky, mampifanakeky, manakeky, mifanakeky, mihakeky, mpanakeky, voakeky",A
akenje,"mampiakenje, miakenje, piakenje, voaekenje",A
akisa,,A
akisa,akisakisa,A
ako,"akoako, anakoana, fanako, fanakoana, manako, miako",A
ako,miako,A
akoako,"fanakoakoana, manakoako",A
akofa,manakofa,A
akora,"akoraina, anakorana, fanakora, fanakorana, mahakora, mampanakora, mampifanakora, manakora, mifanakora, mpanakora, voakora",A
akoriasa,"akoriasaina, anakoriasana, fanakoriasana, fiakoriasana, iakoriasana, manakoriasa, miakoriasa, mikoriasa",A
akotra,makotra,A
akotso,"akotsoina, anakotsoana, manakotso, miakotso, voakotso",A
ala,"alamenga, ifanalana",A
ala,"mianala, mpianala",A
ala,"alaina, alana, ampañalaina, ampangala, ampiala, analana, angalana, fampangala, fampiala, fanala, fanala, fanala, fanalana, fanalana, fangalàna, fiala, fialana, fifanalana, ialana, mampañala, mampiala, manala, manala, miala, mifanala, mihamiala, mpanala, mpiala, pangala, piala, voala",A
aladitra,aladirina,A
alahelo,"alahelohelo, alahelovana, ampalahelovana, ampalahelovina, fahalahelovana, falahelo, falahelovana, mafalahelo, mahafalahelo, malahelo, mampalahelo, mifampalahelo, palahelo",A
alahelohelo,malahelohelo,A
alaka,alafana,A
alaka,"falaka, malaka, mpalaka",A
alaka,mialaka,A
alakamo,alakamoina,A
alakasy,alakasina,A
alalana,"aalalana, alalanina, analalanana, fanalalana, fanalalanana, mampanalalana, mampifanalalana, manalalana, mifanalalana, mpanalalana, voalalana",A
alanalana,"alanalanina, analanalanana, fanalanalana, fanalanalanana, fialanalana, fialanalanana, ialanalanana, manalanalana, mialanalana, mpanalanalana, mpialanalana, voalanalana",A
alaotra,Talaotra,A
ale,"mañale, miale, mihaale",A
alika,"alikaina, alikalika, analikana, fanalikana, fifañalika, mahaalika, mahalika, mampanalika, mampifañalika, manalika, mifañalika, mpanalika, pañalika, voafañalika",A
alika,alikalika,A
alika,"fanalika, fialika",A
alikalika,"fanalikalikana, fialikalihana, fialikalika, fialikalikana, ialikalihana, ialikalikana, mahalikalika, mialikalika, mialikalìka, mihalikalika, mpialikalika, voalikalika",A
alimbolo,mialimbolo,A
alina,"alinina, fanalina, fanalinana, mahalina, mpanalina, tsialinalina",A
alina,alinalina,A
alina,"analinana, fahalemana, fialemana, fialemana, fialina, fialinana, halemana, ialemana, ialinana, lahalina, mampanalina, mampifanalina, manalina, mialina, mialina, mifanalina, mihalina, mpialina, nankalina",A
alinalina,"alinalemina, alinalinina, analinalinana, manalinalina",A
alo,kialo,A
alo,"alozina, analozana, fanalozana, fialo, fialozana, ialozana, manalo, mialo, mpanalo, mpialo, voalo",A
alo,"mampialo, mifampialo, pialo, pifampialo",A
aloha,"fanalohany, taloha",A
aloha,"alohaloha, analohana, angaloha, fanaloha, fanalohana, fialoha, ialohana, mahaloha, mampañaloha, manaloha, mihaaloha, mpanaloha, mpialoha, pañaloha, pialoha, voaloha, voalohany",A
aloka,"mampanaloka, mampifanaloka, mifanaloka",A
aloka,"aaloka, alofana, alokaloka, analofana, fanalofana, fialofana, fialoka, ialofana, maloka, manaloka, mialoka, mpanaloka, mpialoka, tafaloka, voaloka",A
alokaloka,"alokalofana, ialokalofana, mialokaloka",A
aloke,"aaloke, faaloke, mahaaloke, maloke, mampialoke, mañaloke, mialoke, mihamaloke, pialoke, pifampialoke, voaaloke",A
alona,"alonina, fialona, fialonana, ialonana, mampialona, mialona, mifampialona, mpialona",A
alona,"analonana, fanalona, fanalonana, manalona",A
alotra,mampialotra,A
alotry,"mañalotry, mialotry",A
amalona,"fanamalona, manamalona, mpanamalona",A
amanamana,,A
amany,"amaniana, famany, famaniana, famaniana, mamany, mampamany, mifamany, mpamany, pamany, voamany",A
amato,"amatomato, anamatosana, manamato, piamato",A
ambaka,"ambakavaka, mampifanambaka",A
ambàka,"ambakambàka, fiambaka, fiambakana, iambakana, miambaka, mpiambàka",A
