,sampateny,lettre
himoka,"ahimoka, fihimohana, fihimoka, himohina, himokimoka, ihimohana, mahahimoka, mihimoka, mpihimoka, tafahimoka, takimoka",H
himokimoka,mihimokimoka,H
himokimoka,"fihimokimohana, fihimokimoka, himokimohina",H
himpa,"ahimpa, fahimpa, mahahimpa, mampañimpa, mampihimpa, mihimpa, pañimpa, pihimpa, voahimpa",H
himpy,mihimpy,H
himpona,manimpona,H
hina,"fampihina, mampihina",H
hina,mihina,H
hinaka,"hinakinaka, hinakinaka",H
hinakinaka,"faninakinaka, faninakinaka",H
hinakinaka,"fihinakinaka, mihinakinaka",H
hinakinaka,"ahinakinaka, aninakinahana, faninakinahana, hinakinahina, mahahinakinaka, maninakinaka, mpaninakinaka, voahinakinaka",H
hinana,"fampihinana, fihinana, fihinanana, fihinanana, hinankinana, ihinanana, mahahinana, mampihinana, mihinana, mpihinana",H
hindalo,mañindalo,H
hindrahindra,"ahindrahindra, anindrahindrana, fanindrahindra, fanindrahindrana, fihindrahindra, fihindrahindrana, hindrahindraina, ihindrahindrana, mampihindrahindra, manindrahindra, mihindrahindra, mpanindrahindra, mpihindrahindra, sahindrahindra, tafahindrahindra, voahindrahindra",H
hinjaka,tominjaka,H
hinjaka,"ahinjaka, fihinjahana, fihinjaka, hinjahana, hinjahina, hinjakinjaka, ihinjahana, mahahinjaka, mihinjaka, mpihinjaka, tafahinjaka, tohinjaka",H
hinjakinjaka,mihinjakinjaka,H
hinjihinjy,"ahinjihinjy, fihinjihinjy, fihinjihinjiana, ihinjihinjiana, mahahinjihinjy, maninjihinjy, mihinjihinjy, mpihinjihinjy, tafahinjihinjy, voahinjihinjy",H
hinjitra,"ahinjitra, aninjirana, faninjirana, faninjitra, fihinjirana, fihinjitra, hinjirina, hinjitrinjitra, ihinjirana, mahahinjitra, mañinjitra, maninjitra, mihinjitra, mpaninjitra, mpihinjitra, tafahinjitra, voahinjitra",H
hinjitrinjitra,mihinjitrinjitra,H
hinjoke,"ahinjoke, fihinjoke, mampañinjoke, mihinjoke, pihinjoke",H
hintsa,"ahintsa, mahahintsa, mampañintsa, mampihintsa, mañintsa, mifañintsa, mihamihintsa, mihintsa, pifañintsa, pihintsa, voahintsa",H
hintsana,"ahintsana, anintsanana, fanintsana, fanintsanana, fifanintsanana, fihintsana, fihintsanana, hintsankintsana, ihintsanana, mahahintsana, manintsana, mihintsana, mpanintsana, mpihintsana, voahintsana",H
hintsy,mangintsy,H
hintsina,"hintsingintsina, mangintsina",H
hintsingintsina,"fangintsingintsina, mangintsingintsina",H
hipoka,"ahipoka, fihipoka, hipohana, mihipoka, voahipoka",H
hira,"ampihira, fihira, mahahira, mampihira, pihira, voahira",H
hira,"fihirana, hirahira, hiraina, ihirana, mihira, mpihira",H
hirahira,mihirahira,H
hirana,"fangirana, hirangirana, mangirana",H
hirangirana,"fangirangirana, hirangiranina, mangirangirana",H
hiratra,mampihiratra,H
hiratra,"ahiratana, ahiratra, fahiratana, fahiratra, fihiratana, fihiratra, hiratriratra, ihiratana, mahahiratra, mahiratra, mihiratra, mpahiratra, tafahiratra, voahiratra",H
hiratry,mihiratry,H
hiratriratra,mihiratriratra,H
hiry,"ahiry, mampihiry, mihamihiry, mihiry, pihiry, voahiry",H
hirifire,"mampangirifire, mangirifire",H
hirifiry,"angirifiriana, fangirifiry, fangirifiriana, mampangirifiry, mangirifiry",H
hirihiry,"ahirihiry, fihirihiry, fihirihiriana, ihirihiriana, mahahirihiry, mihirihiry, mpihirihiry, tafahirihiry",H
hirika,"fangirihirihana, tangirika",H
hirika,"ahirika, angirihana, fangirihana, fangirika, fihirifana, hirifana, hirihana, mahahirika, mangirika, mpangirika, voahirika",H
hirike,"ahirike, mahahirike, mampañirike, mangirike, mihirike, pañirike, voahirike",H
hirina,anirina,H
hirina,"ahirina, anirinana, fanirina, fanirinana, fihirinana, hiringirina, hirinkirina, ihirinana, mahahirina, manirina, mihirina, mpanirina, mpihirina, tafahirina, voahirina",H
hiringirina,"ahiringirina, fangiringirihana, fihiringirina, fihiringirinana, ihiringirinana, mampihiringirina, mifampihiringirina, mihiringirina, mpihiringirina",H
hirinkirina,"ahirinkirina, fihirinkirina, fihirinkirinana, ihirinkirinana, mihirinkirina, mpihirinkirina",H
hisa,"fampisa, fihisa, mampisa, pisa",H
hisatra,"fihisarana, ihisarana",H
hisatra,"ahisatra, anisarana, fanisarana, fanisatra, fihisatra, hisatrisatra, mahahisatra, manisatra, mihisatra, mpanisatra, mpihisatra, tafahisatra",H
hisina,hisinkisina,H
hita,"ampahita, fampahita, fifankahita, fihita, mihamahita, pahita, pifankahita, pihita",H
hita,ahitana,H
hita,"fahita, fahitana, hitahita, ifankahitana, mahita, mampahita, mampifahita, mampifankahita, mifahita, mifankahita, mpahita",H
hitakitaka,"angitakitahana, fangitakitahana, fangitakitaka, mampangitakitaka, mangitakitaka, mpangitakitaka",H
hity,"ahity, mahahity, mahity, mampahity, mihamahity, pañity, voahity",H
hitika,"fihitika, mihitika",H
hitika,"hitikitika, mpihitika",H
hitikitika,"fihitikitihana, fihitikitika, ihitikitihana, mihitikitika, mpanitikitika",H
hitikitika,"ahitikitika, fangitikitika, hitikitihina, mahahitikitika, mangitikitika, mpangitikitika, mpanitikikita, voahitikitika",H
hitikitika,angitikitihana,H
hitikitike,"mampangitikitike, mangitikitike, pangitikitike",H
hitoka,hitokitoka,H
hitokitoka,mañitokitoka,H
hitrika,"tangitrika, tangitrika",H
hitrika,hitrikitrika,H
hitrikitrika,"mangitrikitrika, mangitrikitrika",H
hitrikitrika,"ahitrikitrika, anitrikitrihana, fanitrikitrihana, fanitrikitrika, fihitrikitrihana, fihitrikitrika, hitrikitrihana, hitrikitrihina, ihitrikitrihana, mahahitaikitrika, manitrikitrika, mihitrikitrika, mpanitrikitrika, mpihitrikitrika, tafahitrikitrika, voahitrikitrika",H
hitsaka,"hinitsaka, ifanitsahana, manitsaka, manitsaka",H
hitsaka,"ahitsaka, anitsahana, fanitsahana, fanitsaka, hitsahina, hitsakitsaka, mahahitsaka, mifanitsaka, mpanitsaka, voahitsaka",H
hitsake,"ahitsake, mahahitsake, mampañitsake, mifañitsake, pañitsake, pifañitsake, voahitsake",H
hitsakitsaka,"anitsakitsahana, fanitsakitsahana, manitsakitsaka, voahitsakitsaka",H
hitsy,"fanitsiana, mihitsy, mihitsy",H
hitsy,"ahitsy, anitsiana, fahitsy, fahitsiana, fanitsy, fihitsy, fihitsiana, hitsihitsy, hitsina, ihitsiana, mahahitsy, mahitsy, manitsy, mifanitsy, mpanitsy, mpihitsy",H
hitsihitsy,mihitsihitsy,H
hitsike,"ahitsike, mahahitsike, mampañitsike, mampihitsike, mifañitsike, mihamihitsike, pañitsike, pifañitsike, pihitsike",H
hitsiky,"manitsiky, mihitsiky",H
hitsikitsika,hitsikitsihana,H
hitsoka,"ahitsoka, fihitsohana, fihitsoka, ihitsohana, mampihitsoka, mihitsoka, mpihitsoka, tafahitsoka, voahitsoka",H
hitsoka,hitsokitsoka,H
hitsokitsoka,"mangitsokitsoka, mihitsokitsoka",H
hivina,hivingivina,H
hivingivina,"ahivingivina, fihivingivina, fihivingivinana, ihivingivinana, mahahivingivina, mihivingivina, mpihivingivina, tafahivingivina, voahivingivina",H
hivoka,"fanivohana, fanivoka, manivoka, mihivokivoka",H
hivoka,"ahivoka, ampihivohana, fampihivohana, fampihivoka, fihivohana, fihivoka, hivohana, hivokivoka, ihivohana, mahahivoka, mampihivoka, mihivoka, mpampihivoka, mpihivoka, tafahivoka, voahivoka",H
hizihizy,mihizihizy,H
hizina,"hizinina, ihizana, ihizingizinana, mifanizina, mihizingizina",H
hizina,"ahizina, anizinana, fanizinana, fihizina, fihizinana, hizinana, hizinkizina, ihizinana, mahahizina, mihizina, mitanizina, mpihizina, tafahizina, tangizina, voahizina",H
hiziñy,mahiziñy,H
hizitra,"ahizitra, hizirina, mihizitra",H
hoa,mihoa,H
hoaka,hoakoaka,H
hoaka,"anoahana, fanoahana, fanoaka, fihoaka, mangoaka, manoaka, mihoaka, mpanoaka",H
hoakoaka,"fanoakoaka, fihoakoahana, fihoakoaka, ihoakoahana, mangoakoaka, manoakoaka, mihoakoaka, mpanoakoaka",H
hoalahoala,"ahoalahoala, fihoalahoala, fihoalahoalana, ihoalahoalana, mihoalahoala, tafahoalahoala",H
hoatra,"ahoatra, anoarana, hoarina, ihoarana, mahahoatra, manoatra, mihoatra, tafahoatra",H
hoatra,"fanoarana, fanoatra, fihoarana, fihoatra",H
hobaiña,"mañobaiña, mifanobaiña",H
hobaka,"hobakobaka, mangobaka",H
hobakobaka,mangobakobaka,H
hobana,hobankobana,H
hobankobana,"ahobankobana, fihobankobana, fihobankobanana, hobankobanina, ihobankobanana, mihobankobana",H
hoby,"fihobena, fihoby, fihobiana, hobena, hobiana, hobihoby, hobina, ihobena, ihobiana, mahahoby, mihoby, mpihoby, voahoby",H
hobohobo,"anobohoboana, hobohoboina, manobohobo, voahobohobo",H
hobohobo,hobohoboina,H
hodahoda,"fihodahoda, fihodahodana, hodahodaina, ihodahodana, mihodahoda, mpihodahoda",H
hodidy,"ahodidy, mahahodidy, mampañodidy, mañodidy, mihodidy, pañodidy, pihodidy, voahodidy",H
hodidina,"ahodidina, anodidinana, fanodidina, fanodidinana, fihodidina, fihodidinana, hodidindidina, hodidinina, ihodidinana, mahahodidina, manodidina, mihodidina, mpanodidina, mpihodidina, tafahodidina, voahodidina",H
hodina,"ahodina, anodinana, fanodina, fanodinana, fihodina, fihodinana, hodinkodina, ihodinana, mahahodina, mampihodina, manodina, mifampihodina, mihodina, mpihodina, sangodina, tafahodina, voahodina",H
hodinkodina,"ahodinkodina, fihodinkodinana, manodinkodina, mihodinkodina",H
hoditra,"hodirana, takoditra",H
hoditra,"anodirana, fanodirana, fanoditra, fihodirana, hodirina, hoditroditra, mahahoditra, manoditra, mihoditra, mpanoditra",H
hodivitra,"ahodivitra, anodivirana, fanodivirana, fanodivitra, fihodivirana, fihodivitra, hodividivitra, hodivirana, hodivirina, ihodivirana, mahahodivitra, manodivitra, mihodivitra, mpanodivitra, mpihodivitra, tafahodivitra, voahodivitra",H
hodrahodra,"ahodrahodra, fihodrahodra, fihodrahodrana, ihodrahodrana, mihodrahodra, voahodrahodra",H
hodrohodro,"fihodrohodro, fihodrohodroana, ihodrohodroana, mihodrohodro, mpihodrohodro",H
hoesa,makoesa,H
hofa,"ahofa, ahofa, ampañofa, anofana, fahofa, fampañofa, fanofa, fanofa, fanofana, fanofana, hinofa, hofana, hofana, manofa, manofa, mifanofa, mpampanofa, mpanofa, pañofa, voahofa",H
hofa,"ampanofaina, mahofa, mampanofa, mihofa",H
hofa,"hofahofa, hofaina, mahahofa",H
hofahofa,"manofahofa, mihofahofa",H
hofahofa,ahofahofa,H
hofaka,hofakofaka,H
hofakofaka,"ahofakofaka, ahofakofaka, fanofakofaka, fihofakofahana, fihofakofaka, ihofakofahana, mihofakofaka, mihofakofaka, mpihofakofaka",H
hofakofaka,"anofakofahana, fanofakofahana, hofakofahina, manofakofaka, miofakofaka, mpanofakofaka, tafahofakofaka, voahofakofaka",H
hofe,mañofe,H
hofy,"hofasa, mañofy",H
hofoka,hofokofoka,H
hofokofoka,"ahofokofoka, anofokofohana, fanofokofohana, fanofokofoka, fihofokofohana, fihofokofoka, hofokofohina, ihofokofohana, mahahofokofoka, manofokofoka, mihofokofoka, mpanofokofoka, mpihofokofoka, voahofokofoka",H
hoga,hogahoga,H
hogahoga,"fihogahoga, fihogahogana, hogahogaina, ihogahogana, mahahogahoga, mihogahoga, mpihogahoga",H
hogo,fanogo,H
hogo,"ahogo, anogoana, fanogoana, fihogo, fihogoana, hogohogo, hogoina, ihogoana, mahahogo, mampihogo, manogo, mifampihogo, mihogo, mpanogo, mpihogo, voahogo",H
hoha,"fihoha, fihohana, fihohazana, hohahoha, hohaina, ihohana, mahahoha, mihoha, mpihoha, voahoha",H
hohahoha,mihohahoha,H
hohy,"ahohy, anohazana, fanohazana, fihohy, hohazana, hohihohy, ihohazana, mahahohy, manohy, mihohy, mpanohy, mpihohy, voahohy",H
hoho,hohoina,H
hohoka,"fifanohoka, mampihohoka, mpifanohoka",H
hohoka,"ahohoka, anankohofana, ankohofina, ankohoka, ankohonkohoka, anohofana, fanankohofana, fanankohoka, fiankohofana, fiankohoka, fihohofana, fihohoka, hohofana, hohokohoka, iankohofana, ihohofana, mahahohoka, manankohoka, manohoka, miankohoka, mifanohoka, mihohoka, mpanankohoka, mpanohoka, mpiankohoka, mpihohoka, tafahohoka, voahohoka",H
hohoke,"ahohoke, fahohoke, mampañohoke, mampihohoke, mihohoke, pihohoke, voahohoke",H
hohona,"ahohona, ahohony, ankohonana, anohonana, fihohona, fihohonana, hohonina, hohonkohona, ihohonana, mahahohona, mihohona, mpanohona, mpihohona, voahohona",H
hoy,mihoy,H
hoika,mihoika,H
hola,aholaña,H
holaitra,"fiholairana, fiholaitra, iholairana, miholaitra, mpiholaitra",H
holaky,mañolaky,H
holantrolana,"fiholantrolana, fiholantrolanana, iholantrolanana, miholantrolana, mpiholantrolana",H
holatra,fanolatra,H
holatra,manolatra,H
holatse,"mahaholatse, mampañolatse, mañolatse",H
holeleake,miholeleake,H
holy,"fiholy, fiholiana, holiholy, iholiana, miholy, mpiholy",H
holika,tangolika,H
holika,fangolehana,H
holitse,"mampañolitse, miholitse, pañolitse, voaholitse",H
holo,"mampiholo, miholo, piholo",H
holoka,"fangoloka, holokoloka, mangoloka",H
holokoloka,mangolokoloka,H
hololoike,"fihololoike, mampihololoike, mihololoike, pihololoike",H
homake,"fihomake, mihomake",H
homana,homamiadana,H
homaranantsody,"fihomaranantsody, mihomaranantsody",H
homarantsody,"fihomarantsody, mihomarantsody",H
hombo,"ahombo, anomboana, fanomboana, fihombo, fihomboana, homboana, hombohombo, ihomboana, mahahombo, manombo, mihombo, mpanombo, mpihombo, tafahombo, voahombo",H
hombona,mihombona,H
homehy,"fihomehy, homehimehy, ihomehezana, mahahomehy, mampihomehy, mihomehy, mpihomehy",H
homehimehy,mihomehimehy,H
homoka,"fanomokomohana, homohina, homokomoka, manomoka, mihomoka",H
homoke,"mampihomoke, mihomoke, pihomoke",H
homoky,mañomoky,H
homokomoka,"fanomokomoka, fihomokomohana, fihomokomoka, homokomohina, ihomokomohana, mahahomokomoka, manomokomoka, mihomokomoka, mpanomokomoka, mpihomokomoka, voahomokomoka",H
homosy,homosimosy,H
hona,honahona,H
honahona,mangonahona,H
honaka,inonahana,H
honaka,"ahonaka, anonahana, fanonahana, fanonaka, fihonaka, honahina, honakonaka, manonaka, mihonaka, mpanonaka, mpihonaka, sahonaka, tafahonaka, voahonaka",H
honakonaka,"fihonahonahana, ihonahonahana",H
honankonana,"fihonankonana, mihonankonana, mpihonankonana",H
hondrahondra,sahondrahondra,H
hondrahondra,"ahondrahondra, mihondrahondra, voahondrahondra",H
hondrahondra,"fihondrahondra, fihondrahondrana, ihondrahondrana, mihondrahondra, mpihondrahondra",H
hondratra,"fihondratana, fihondratra, hondratrondratra, ihondratana, mihondratra",H
hondry,"mañondry, mifañondry",H
hondrokondroka,"anondrokondrohana, fanondrokondrohana, fanondrokondroka, fihondrokondroka, hondrokondrohana, mahahondrokondroka, manondrokondroka, mihondrokondroka, mpihondrokondroka",H
honikonika,mihonikonika,H
honikonika,"ahonikonika, fihonikonihana, fihonikonika, fihonokonika, ihonikonihana, mihonikokika, mpihonikonika",H
honikonina,mpihoninkonina,H
honina,honinkonina,H
honinkonina,"fihoninkonenana, fihoninkonina, ihoninkonenana, mihoninkonina",H
honkona,fanonkona,H
honkona,"ahonkona, anonkonana, fanonkonana, honkonana, manonkona, mihonkona, mpanonkona, voahonkona",H
hono,"honohono, honoina, mihono",H
honofy,mañonofy,H
honohono,"honohonoina, mihonohono",H
hontihonty,"fihontihonty, fihontihontiana, ihontihontiana, mihontihonty, mpihontihonty",H
hontoke,"fihontoke, mahahontoke, mampihontoke, mihontoke, pihontoke",H
hontsa,"ahontsa, fahontsana, hontsahontsa, hontsaina, hontsana, mahahontsa, manontsa",H
hontsana,"fanontsana, hontsankontsana",H
hontsana,"ahontsana, anontsanana, fanontsanana, fihontsana, fihontsanana, hontsanana, ihontsanana, manontsana, mihontsana, mpanontsana, mpihontsana, voahontsana",H
hontsankontsana,"ahontsankontsana, fihontsankontsanana, mihontsankontsana",H
hontsina,"fangontsina, fangontsinana, mangontsina",H
hontsina,"ahontsina, anontsinana, fanontsina, fanontsinana, fihontsina, fihontsinana, hontsinina, hontsinkontsina, ihontsinana, mahahontsina, manontsina, mihontsina, mpanontsina, mpihontsina, voahontsina",H
hontsinkontsina,mihontsinkontsina,H
hontsona,"anontsonana, fihontsonana, ihontsonana, manontsona, mpihontsona",H
hontsona,"ahontsona, fanontsona, fanontsonana, fihontsona, hontsonina",H
hopaka,"ahopaka, fihopahana, fihopaka, hopakopaka, ihopahana, mahahopaka, mihopaka",H
hopetaka,tangopetaka,H
hopetaka,"fangopetaka, mangopetaka",H
horaka,"fangoraka, horahina, horahina, horakoraka, horakoraka",H
horàka,"horadràka, mangoràka",H
horaka,"fihorahana, fihoraka, ihorahana, mahahoraka, mahoraka, mihoraka, mpihoraka, voahoraka",H
horaka,"angorahana, mampangoraka, mangoraka, mpangoraka",H
horakoraka,"horakorahina, manorakoraka",H
horakoraka,mihorakoraka,H
horakoraka,"fangorakorahana, fihorakorahana, mangorakoraka",H
horangorana,mangorangorana,H
horatsaka,"fangoratsaka, horatsadratsaka, mangoratsaka",H
horiaka,"fihoriahana, horiadriaka, ihoriahana, mihoriaka",H
horika,"fihorehana, fihorika, horehina, horikorika, ihorehana, mahahorika, mihorika, mpihorika, tafahorika",H
horikorika,mihorikorika,H
horintsina,"angorintsinana, fangorintsina, fangorintsinana, horintsindrintsina, mangorintsina, mpangorintsina",H
horipika,"fihoripihana, fihoripika, horipidripika, ihoripihana, mihoripika, mpihoripika, tafahoripika",H
horira,"ahorira, mampihorira, mañorira, mihorira, pihorira, voahorira",H
horirana,"ahorirana, anoriranana, fanorirana, fanoriranana, fihorirana, fihoriranana, horirandrirana, horiranina, ihoriranana, mahahorirana, manorirana, mihorirana, mpanorirana, mpihorirana, tafahorirana, voahorirana",H
horo,"fahoro, fihoro, mahahoro, mampihoro, mihamihoro, mihoro, pangoro, pañoro, pihoro, voahoro",H
horobo,mañorobo,H
horododo,"ahorododo, fihorododo, mampihorododo",H
horohoro,"ampañorohoro, mampañorohoro, mañorohoro, mifañorohoro, pañorohoro, voahorohoro",H
horohoro,"fihorohoro, fihorohoroana, ihorohoroana, mampihorohoro, mangorohoro, mihorohoro, mpihorohoro",H
horona,"fangorona, manorona",H
horona,"ahorona, angoronana, fangoronana, fihorona, fihoronana, horonana, horongorona, ihoronana, mahahorona, mangorona, mihorona, mpangorona, mpihorona, tafahorona, tangorona, voahorona",H
horontsina,mangorontsina,H
horontsona,mangorontsona,H
hororoky,"mifanororoky, mihororoky",H
horotsoka,mangorotsoka,H
horovitsika,mangorovitsika,H
hosa,"mahahosa, mampañosa, mifañosa, pifañosa, voahosa",H
hosa,pañosa,H
hosy,"ahosy, anosena, fanosena, fanosy, fihosena, fihosy, hosena, hosihosy, ihosena, mahahosy, mampihosy, manosy, maosy, mihosy, mpampihosy, mpanosy, mpihosy, voahosy",H
hosihosy,manosihosy,H
hosiky,manakosiky,H
hosina,"ahosina, ahosina, fihosinkosina, hosinana, mihosina, mihosina, tankosina, voahosina",H
hosina,"anosenana, fanosenana, fanosina, fihosenana, fihosina, hosenana, ihosenana, kosina, mahahosina, mpanosina, mpihosina, tafahosina",H
hosina,hosinkosina,H
hosinkosina,"mihosinkosina, mihosinkosina",H
hositra,takositra,H
hosoka,"fanosoka, hosokosoka",H
hosoke,pañosoke,H
hosotra,"ankosotra, takosotra",H
hosotra,"ahosotra, anosorana, fanosorana, fanosotra, fihosorana, fihosotra, hosorana, hosotrosotra, ihosorana, mahahosotra, mampanosotra, mampifanosotra, manosotra, mifanosotra, mihosotra, mpanosotra, mpihosotra, voahosotra",H
hosotse,"ahosotse, fahosotse, kihosotse, mahahosotse, mampañosotse, mampihosotse, mañosotse, mifampañosotse, mifañosotse, mihosotse, pañosotse, pifañosotse, pihosotse, voahosotse",H
hota,"ampihota, fampihota, fihota, fihotana, hotahota, hotaina, ihotana, kihota, mahahota, mampihota, mihota, mpihota, pihota, voahota",H
hotahota,manotahota,H
hotakotaka,"fihotakotahana, fihotakotaka, fikotakotaka, ihotakotahana, mangotakotaka, mihotakotaka, mpihotakotaka, tafahotahotaka",H
hotana,"hotankotana, kotana, mihotana",H
hotika,"hotikotika, mangotika",H
hotiky,mihotiky,H
hotikotika,"anotikotehana, hotikotehina, mangotikotika, mpanotikotika, voahotikotika",H
hotikotiky,"mihotikotiky, mihotsikotiky",H
hoto,"hotoina, hotoina, voahoto",H
hoto,hotohoto,H
hoto,"fihoto, fihotoana, ihotoana, mahahoto, mihoto, mpihoto",H
hotohoto,"fanotohoto, fanotohoto",H
hotohoto,"anotohotoana, fanotohotoana, hotohotoina, mahahotohoto, manotohoto, mifanotohoto, mihotohoto, mpanotohoto",H
hotraka,"ampangotrahina, angotrahana, fampangotrahana, fangotrahana, fangotraka, hotrakotraka, kotraka, mangotraka, motraka, mpangotraka",H
hotraka,fanotrahana,H
hotraka,mihotraka,H
hotrakotraka,mangotrakotraka,H
hotro,"fihotro, fihotroana, ihotroana, mihotro, mpihotro",H
hotroka,hotrokotroka,H
hotrokotroka,mangotrokotroka,H
hotsaka,"ahotsaka, fihotsahana, fihotsaka, hotsahana, ihotsahana, mahahotsaka, mihotsaka, voahotsaka",H
hotsohotso,mangotsohotso,H
hotsoka,"fangotsohana, fangotsohana, fangotsohana, mangotsoka, mangotsoka",H
hotsoka,"angotsohana, fangotsongotsohana",H
hotsoke,"fangotsoke, mampangotsoke, mampañotsoke, mangotsoke, mihotsoke, pangotsoke, pañotsoke, voahotsoke",H
hotsokotsoka,"fangotsokotsohana, fangotsokotsoka, mangotsokotsoka",H
hovihovy,"angovihoviana, fangovihovy, fangovihoviana, mangovihovy, mihovihovy",H
hovingovitra,mangovingovitra,H
hovitra,hovitrovitra,H
hovitra,"angovitana, fangovitana, fangovitra, fihovitra, hovingovitra, mangovitra, mihovitra, mpangovitra",H
hovitrovitra,"ahovitrovitra, fihovitrovitra, mihovitrovitra",H
hovotra,hovotrovotra,H
hovotrovotra,"anovotrovotana, fanovotrovotana, fanovotrovotra, fihovotrovotana, fihovotrovotra, hovotrovotina, ihovotrovotana, mahahovotrovotra, manovotrovotra, mihovotrovotra, mpanovotrovotra, mpihovotrovotra, tafahovotrovotra, voahovotrovotra",H
hozana,mihozana,H
hozangozana,"fihozangozana, fihozangozanana, mihozangozana",H
hozatra,"hozatina, hozatrozatra, mahozatra, manozatra, mihozatra",H
hozo,"fihozo, kihozo, mampañozo, mañozo, mifañozo, mihozo, pañozo, pifañozo, pihozo, voahozo",H
hozohozo,"angozohozoana, fangozohozo, fangozohozoana, fihozohozo, fihozohozoana, ihozohozoana, mangozohozo, mihozohozo, mpangozohozo, mpihozohozo",H
hozona,hozongozona,H
hozongozona,"ahozongozona, anozongozonana, fanozongozona, fanozongozonana, fihozongozona, fihozongozonana, hozongozonina, ihozongozonana, mahahozongozona, manozongozona, mihozongozona, mpanozongozona, mpihozongozona, voahozongozona",H
haba,habaina,H
haba,mihaba,H
habahaba,mañabahaba,H
habahaba,"fihabahaba, fihabahabana, ihabahabana, mihabahaba, mpihabahaba",H
habahaba,manabahaba,H
habaka,"habakabaka, mangabaka",H
habakabaka,"fangabakabaka, mangabakabaka, mihabakabaka",H
haboka,mangaboka,H
haboka,habokaboka,H
habokaboka,"ihabokabohana, mihabokaboka",H
haboke,"mampihaboke, mihaboke, pihaboke",H
hady,"angady, angadiana",H
hady,"ahady, fangady, fihady, fihadiana, hadihady, hadina, ihadiana, mahahady, mahahadihady, mangady, mihady, mpihady, voahady",H
hadia,"hadiatay, hadiavina",H
hadihady,ihadihadiana,H
hadihady,"anadihadiana, fanadihady, fanadihadiana, hadihadina, mahadihady, mampanadihady, mampifanadihady, manadihady, mifanadihady, mihadihady, mpanadihady, voahadihady",H
hadihady,"fangadihady, mangadihady",H
hadina,mañadina,H
hadino,"anadinovana, hadinavina, hadinovina, halinavina, halinovina",H
hadino,"anadinoana, fanadino, fanadinoana, hadinodino, hadinoina, mahahadino, mampanadino, mampifanadino, manadino, mifanadino, mpanadino, voahadino",H
hadona,mangadona,H
hadotse,"ahadotse, fahadotse, mahahadotse, mampañadotse, mañadotse, mihadotse, pañadotse, pihadotse, voahadotse",H
hadra,"hadrahadra, mampihadra, mifampihadra",H
hadrahadra,"ahadrahadra, fihadrahadra, fihadrahadrana, ihadrahadrana, mahahadrahadra, mampihadrahadra, mifampihadrahadra, mihadrahadra, mpihadrahadra, tafahadrahadra",H
hafa,"fifañahafa, fifanahafana, hafahafa, mahahafa, mihafa, pihafahafa",H
hafahafa,"ahafahafa, fihafahafa, fihafahafana, hafahafaina, ihafahafana, mahahafahafa, mampihafahafa, mifampihafahafa, mihafahafa, mpihafahafa, tafahafahafa",H
hafatra,"ahafatra, anafarana, fanafarana, fanafatra, hafarana, hafatrafatra, mahafatra, mahahafatra, mampanafatra, mampifanafatra, manafatra, mifanafatra, mpanafatra, voahafatra",H
hafatse,"mampañafatse, mañafatse, mifañafatse, pañafatse, pifañafatse, voahafatse",H
hafy,"ahafy, ampihafina, fihafy, fihafiana, hafihafy, hafina, ihafiana, mafy, mahahafy, mampihafy, mifampihafy, mihafy, mpihafy, pihafy, tafahafy, voahafy",H
hafo,"mampihafo, pihafo",H
hafoka,"hafokafoka, mangafoka",H
hafokafo,mihafokafo,H
hafokafoka,"ahafokafoka, anafokafohana, manafokafoka, mangafokafoka",H
hafotra,"anaforana, haforana, manafotra",H
haga,"mihaga, mihaga",H
haga,mihaga,H
hagahaga,"anagahagana, ihagahagana, managahaga, mihagahaga",H
haha,"anahana, fanaha, fanahana, fihaha, fihahana, hahahaha, hahana, ihahana, mahahaha, mampanaha, mampifanaha, manaha, mifanaha, mihaha, mpanaha, voahaha",H
haha,"pañaha, pihaha",H
hahaka,"ahahaka, anahafana, fanahafana, fanahaka, fihahafana, fihahaka, hahafina, hahakahaka, ifanahafana, ihahafana, mahahahaka, mampanahaka, mampifanahaka, mampihahaka, manahaka, mifanahaka, mihahaka, mpanahaka, mpihahaka, tafahahaka, voahahaka",H
hahakahaka,"fihahakahaka, mihahakahaka",H
hahy,"ahahy, anahazana, fanahazana, fanahy, fihahazana, fihahy, hahazana, hahazana, hahihahy, ihahazana, mahahahy, manahy, mihahy, mpihahy, voahahy",H
hahia,"ankahiazina, hahiazina",H
haho,"angahoana, angahoina, mangaho",H
hahohaho,"ahahohaho, manahohaho, mihahohaho, mihahohaho",H
hahohaho,"fihahohaho, fihahohahoana, ihahohahoana, mahahahohaho, mampihahohaho, mifampihahohaho, mpihahohaho, tafahahohaho",H
hay,"ankay, faheza, hahay, kihaihay, may, may, mampahay, mankahay, mifankahay, mihamahay, pahay",H
hay,may,H
hay,mahay,H
hay,"ahaizana, fahay, fahaizana, haizina, mpahay",H
haihay,"fangaihay, fihaihay, mampangaihay, mangaihay, mihaihay, mpangaihay, mpihaihay",H
haihay,mahaihay,H
haika,"haihina, ihaihana, ihehana, manaika",H
haika,"fihaika, fihaikana, haikaina, hehina, ihaikana, mampihaika, mangaika, mifampihaika, mihaika, mihaika, mpihaika, voahaika",H
haikahaika,ihaikahaikana,H
haikahaika,"haikahaikaina, mihaikahaika",H
haikaika,"fihaikaika, mihaikaika",H
haina,"maina, maina",H
haingana,"hainganahaingana, mahahaingana, manahaingana",H
